标题,类型,名称,位置,resblockroom,area,resblockroom1,resblockroom2,resblockroom3,关键词,数量,描述,second
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          独栋·乐乎青年社区 郑州大学店 精装一室一卫B户 1室1厅        ",undefined,"
                31.00-32.00㎡
        /40间在租        /
        1室1厅1卫      ",,undefined,,undefined,,undefined,undefined,独栋公寓,月租,精装,"
            乐乎青年社区          ",880-1050 元/月,880-1050,,,有阳台,开放厨房,押一付一,27天前维护,"
            广告          ",,,,,,下一页,https://zz.zu.ke.com/zufang/pg4/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          整租·亚太明珠 4室2厅 南/西        ",undefined,"
                郑州经济技术开发区-远大理想城-亚太明珠
        /
        186.00㎡
        /南 西        /
          4室2厅1卫        
          /
          高楼层                        （24层）
                  
      ",郑州经济技术开发区,undefined,远大理想城,undefined,亚太明珠,undefined,undefined,精装,集中供暖,随时看房,"
            链家          ",3200 元/月,3200,,,,,,10天前维护,,"
          /
          高楼层                        （24层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg4/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          合租·正商铂钻 5居室 南卧        ",undefined,"
                  精选          /
                郑东新区-郑州东站-正商铂钻
        /
        20.17㎡
        /南        /
          5室1厅3卫        
          /
          中楼层                        （33层）
                  
      ",郑东新区,undefined,郑州东站,undefined,正商铂钻,undefined,undefined,公寓,月租,近地铁,"
            魔飞公寓          ",820 元/月,820,"
            广告          ",/,精装,押一付一,随时看房,今天维护,,"
          /
          中楼层                        （33层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg4/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          整租·经七路15号付4号院 3室2厅 南/北        ",undefined,"
                金水区-花园路-经七路15号付4号院
        /
        119.57㎡
        /南 北        /
          3室2厅1卫        
          /
          中楼层                        （7层）
                  
      ",金水区,undefined,花园路,undefined,经七路15号付4号院,undefined,undefined,集中供暖,随时看房,,5天前维护,2600 元/月,2600,,,,,,,,"
          /
          中楼层                        （7层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg4/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          合租·凤凰苑 5居室 南卧        ",undefined,"
                  精选          /
                管城回族区-世纪欢乐园-凤凰苑
        /
        20.00㎡
        /南        /
          5室1厅1卫        
          /
          中楼层                        （7层）
                  
      ",管城回族区,undefined,世纪欢乐园,undefined,凤凰苑,undefined,undefined,租住保障,公寓,月租,"
            海荣公寓          ",750 元/月,750,"
            广告          ",/,精装,独立阳台,集中供暖,6天前维护,,"
          /
          中楼层                        （7层）
                  ",押一付一,随时看房,,,下一页,https://zz.zu.ke.com/zufang/pg4/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          整租·保利心语一期 3室1厅 南        ",undefined,"
                中原区-中原万达-保利心语一期
        /
        84.00㎡
        /南        /
          3室1厅1卫        
          /
          低楼层                        （34层）
                  
      ",中原区,undefined,中原万达,undefined,保利心语一期,undefined,undefined,精装,集中供暖,,2天前维护,2000 元/月,2000,,,,,,,,"
          /
          低楼层                        （34层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg4/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          独栋·克拉薇公寓 龙子湖店 F户型 1室1厅        ",undefined,"
                  仅剩1间
          /
                48.00㎡
        /1间在租        /
        1室1厅1卫      ",,undefined,,undefined,,undefined,undefined,独栋公寓,月租,拎包入住,"
            克拉薇公寓          ",2000 元/月,2000,,,近地铁,精装,有阳台,1个月前维护,"
            广告          ",仅剩1间,开放厨房,,,,下一页,https://zz.zu.ke.com/zufang/pg4/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          整租·正商幸福港湾A区 2室1厅 南        ",undefined,"
                管城回族区-幸福港湾-正商幸福港湾A区
        /
        89.00㎡
        /南        /
          2室1厅1卫        
          /
          高楼层                        （33层）
                  
      ",管城回族区,undefined,幸福港湾,undefined,正商幸福港湾A区,undefined,undefined,近地铁,精装,集中供暖,3天前维护,1900 元/月,1900,,,,,,,,"
          /
          高楼层                        （33层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg4/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          合租·金成时代广场 3居室 南卧        ",undefined,"
                  精选          /
                金水区-财富广场-金成时代广场
        /
        15.00㎡
        /南        /
          3室1厅1卫        
          /
          低楼层                        （33层）
                  
      ",金水区,undefined,财富广场,undefined,金成时代广场,undefined,undefined,租住保障,公寓,月租,"
            西海公寓          ",580 元/月,580,"
            广告          ",/,近地铁,精装,集中供暖,今天维护,,"
          /
          低楼层                        （33层）
                  ",随时看房,,,,下一页,https://zz.zu.ke.com/zufang/pg4/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          整租·金水世纪城 2室2厅 东        ",undefined,"
                中原区-五龙口-金水世纪城
        /
        75.00㎡
        /东        /
          2室2厅1卫        
          /
          中楼层                        （32层）
                  
      ",中原区,undefined,五龙口,undefined,金水世纪城,undefined,undefined,业主自荐,精装,集中供暖,1天前维护,1600 元/月,1600,,,,,,,,"
          /
          中楼层                        （32层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg4/#contentList
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"
          整租·融创城开龙府2号院 3室2厅 南        ",undefined,"
                惠济区-惠济万达-融创城开龙府2号院
        /
        89.00㎡
        /南        /
          3室2厅1卫        
          /
          高楼层                        （33层）
                  
      ",惠济区,undefined,惠济万达,undefined,融创城开龙府2号院,undefined,undefined,精装,集中供暖,随时看房,4天前维护,1700 元/月,1700,,,,,,,,"
          /
          高楼层                        （33层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg4/#contentList
